,name,period,price,ef_r,yax,currency,noi,yld,rate
0,Patricia Manor Place,2003-07-01,28917.6456,445.337397580472, -  Per Unit,USD,0.0924011734026795,0.04193382608695652,0.06193382608695652
1,Patricia Manor Place,2003-10-01,29214.752,444.4561479147525, -  Per Unit,USD,0.09128049033202525,0.04262122826086956,0.06262122826086956
2,Patricia Manor Place,2004-01-01,30006.5697,443.9522876342746, -  Per Unit,USD,0.08877101756171908,0.039974626373626365,0.05997462637362637
3,Patricia Manor Place,2004-04-01,30466.9287,444.0127109080644, -  Per Unit,USD,0.08744157613262757,0.04577706593406593,0.06577706593406593
4,Patricia Manor Place,2004-07-01,31212.0609,442.81003062913095, -  Per Unit,USD,0.08512286940253873,0.042859152173913034,0.06285915217391304
5,Patricia Manor Place,2004-10-01,31761.0441,439.24342680221156, -  Per Unit,USD,0.08297776837926021,0.04158758695652173,0.06158758695652174
6,Patricia Manor Place,2005-01-01,32560.4986,441.78242161434895, -  Per Unit,USD,0.08140829052556627,0.04289902222222222,0.06289902222222223
7,Patricia Manor Place,2005-04-01,33703.0967,452.952436642139, -  Per Unit,USD,0.08063694099221552,0.0414963846153846,0.061496384615384606
8,Patricia Manor Place,2005-07-01,34700.8695,468.77996362281965, -  Per Unit,USD,0.08105502318139082,0.041970032608695654,0.06197003260869566
9,Patricia Manor Place,2005-10-01,35550.946,475.2044323463343, -  Per Unit,USD,0.08020114553570545,0.044725456521739135,0.06472545652173914
10,Patricia Manor Place,2006-01-01,36171.4539,479.8960159606361, -  Per Unit,USD,0.07960354880188591,0.0455748,0.0655748
11,Patricia Manor Place,2006-04-01,36245.0687,482.15503229948814, -  Per Unit,USD,0.07981582867842457,0.05059930769230769,0.0705993076923077
12,Patricia Manor Place,2006-07-01,36395.7379,482.38791332049004, -  Per Unit,USD,0.07952380270116574,0.04888030434782609,0.06888030434782609
13,Patricia Manor Place,2006-10-01,36224.7756,479.7599724464969, -  Per Unit,USD,0.07946384172160285,0.046273163043478255,0.06627316304347826
14,Patricia Manor Place,2007-01-01,36399.3222,479.9273446744738, -  Per Unit,USD,0.07911037607306992,0.04678804444444444,0.06678804444444444
15,Patricia Manor Place,2007-04-01,36551.2284,480.37803365371315, -  Per Unit,USD,0.07885557690100174,0.048424120879120874,0.06842412087912088
16,Patricia Manor Place,2007-07-01,36626.5527,491.8349503311987, -  Per Unit,USD,0.08057022800257126,0.04731413043478261,0.06731413043478261
17,Patricia Manor Place,2007-10-01,36096.5689,502.79199825783195, -  Per Unit,USD,0.08357448038633367,0.04256776086956521,0.06256776086956521
18,Patricia Manor Place,2008-01-01,34601.1119,512.0087722914757, -  Per Unit,USD,0.08878479520043556,0.036362956043956035,0.05636295604395604
19,Patricia Manor Place,2008-04-01,32695.3003,515.9778599127785, -  Per Unit,USD,0.09468844546678383,0.03861756043956044,0.05861756043956044
20,Patricia Manor Place,2008-07-01,31307.922,514.7590265505427, -  Per Unit,USD,0.09865088329092093,0.0385636847826087,0.058563684782608705
21,Patricia Manor Place,2008-10-01,29544.8361,514.2469651361464, -  Per Unit,USD,0.10443387739141591,0.03215653260869565,0.052156532608695655
22,Patricia Manor Place,2009-01-01,28261.3132,515.5267166601111, -  Per Unit,USD,0.10944856943026507,0.02706626666666667,0.04706626666666667
23,Patricia Manor Place,2009-04-01,27384.676,513.0411446261861, -  Per Unit,USD,0.11240764242589969,0.0330422967032967,0.0530422967032967
24,Patricia Manor Place,2009-07-01,27326.2396,505.90614362989453, -  Per Unit,USD,0.11108139671655982,0.03501017391304348,0.055010173913043484
25,Patricia Manor Place,2009-10-01,27953.5514,494.3868704534908, -  Per Unit,USD,0.10611607735541413,0.03446005434782608,0.05446005434782608
26,Patricia Manor Place,2010-01-01,29614.4247,487.8189821557903, -  Per Unit,USD,0.09883406220397528,0.037015599999999996,0.0570156
27,Patricia Manor Place,2010-04-01,32048.9977,487.06608397725364, -  Per Unit,USD,0.09118526985521054,0.03472313186813186,0.054723131868131866
28,Patricia Manor Place,2010-07-01,34746.5744,490.2705071803581, -  Per Unit,USD,0.0846593684090524,0.027772521739130435,0.047772521739130436
29,Patricia Manor Place,2010-10-01,36674.7387,494.4599720597106, -  Per Unit,USD,0.08089382331054654,0.02846854347826087,0.04846854347826087
30,Patricia Manor Place,2011-01-01,38898.4218,497.88442694288807, -  Per Unit,USD,0.07679762888625288,0.034341344444444435,0.05434134444444444
31,Patricia Manor Place,2011-04-01,39906.2274,497.70235407309195, -  Per Unit,USD,0.07483078003105229,0.03185416483516483,0.051854164835164834
32,Patricia Manor Place,2011-07-01,40281.606,498.1494554976967, -  Per Unit,USD,0.07420003892064732,0.024121673913043474,0.044121673913043474
33,Patricia Manor Place,2011-10-01,40591.6355,500.57915579269275, -  Per Unit,USD,0.07399245922860528,0.02037721739130435,0.04037721739130435
34,Patricia Manor Place,2012-01-01,40856.5686,502.4457562380272, -  Per Unit,USD,0.07378677751778115,0.02017664835164835,0.04017664835164835
35,Patricia Manor Place,2012-04-01,41454.6695,503.204721159087, -  Per Unit,USD,0.07283204433591062,0.018039802197802202,0.0380398021978022
36,Patricia Manor Place,2012-07-01,42406.4968,511.55264528037486, -  Per Unit,USD,0.07237843498740149,0.016254673913043475,0.036254673913043475
37,Patricia Manor Place,2012-10-01,43573.9416,514.4944764041433, -  Per Unit,USD,0.07084433367911934,0.016895326086956524,0.036895326086956524
38,Patricia Manor Place,2013-01-01,43382.9101,513.7696081978755, -  Per Unit,USD,0.07105603663013037,0.019283033333333335,0.039283033333333335
39,Patricia Manor Place,2013-04-01,43894.579,518.0190516211039, -  Per Unit,USD,0.07080861419645063,0.019750263736263738,0.03975026373626374
40,Patricia Manor Place,2013-07-01,43687.974,520.1212663679618, -  Per Unit,USD,0.07143218859743349,0.026953282608695655,0.046953282608695655
41,Patricia Manor Place,2013-10-01,44475.5107,528.6929537632243, -  Per Unit,USD,0.0713236941555647,0.02733794565217391,0.04733794565217391
42,Patricia Manor Place,2014-01-01,45576.7861,535.4448709290592, -  Per Unit,USD,0.07048915688187052,0.02755097777777778,0.04755097777777778
43,Patricia Manor Place,2014-04-01,46345.2025,547.8897395011885, -  Per Unit,USD,0.07093157996250271,0.02608876923076924,0.04608876923076924
44,Patricia Manor Place,2014-07-01,47537.1049,562.1580304287488, -  Per Unit,USD,0.07095400928743754,0.02486604347826087,0.04486604347826087
45,Patricia Manor Place,2014-10-01,49119.5061,572.8179495849977, -  Per Unit,USD,0.06997032279829837,0.022648728260869565,0.042648728260869566
46,Patricia Manor Place,2015-01-01,49964.6093,594.9916133098302, -  Per Unit,USD,0.07144956660071354,0.019670200000000002,0.0396702
47,Patricia Manor Place,2015-04-01,51286.9164,627.4421981435158, -  Per Unit,USD,0.07340377338149141,0.021531857142857148,0.04153185714285715
48,Patricia Manor Place,2015-07-01,51844.5375,631.919855410903, -  Per Unit,USD,0.07313247094673027,0.022143967391304354,0.042143967391304354
49,Patricia Manor Place,2015-10-01,52136.5468,638.0577425153754, -  Per Unit,USD,0.07342922939983153,0.021806923913043483,0.041806923913043484
50,Patricia Manor Place,2016-01-01,52806.4862,644.7561124442002, -  Per Unit,USD,0.07325874060268758,0.019168879120879122,0.03916887912087912
51,Patricia Manor Place,2016-04-01,53579.2693,653.7776148271225, -  Per Unit,USD,0.0732123774775468,0.017444373626373622,0.03744437362637362
52,Patricia Manor Place,2016-07-01,53358.2175,651.8308736184123, -  Per Unit,USD,0.07329677461040511,0.015583554347826083,0.035583554347826084
53,Patricia Manor Place,2016-10-01,53514.6698,671.2273540282991, -  Per Unit,USD,0.07525719843215392,0.021299489130434782,0.04129948913043478
54,Patricia Manor Place,2017-01-01,54102.5513,688.9419960514529, -  Per Unit,USD,0.07640401195476926,0.02442081111111111,0.04442081111111111
55,Patricia Manor Place,2017-04-01,55531.0836,683.9810052658619, -  Per Unit,USD,0.07390250226622935,0.022559846153846156,0.042559846153846156
56,Patricia Manor Place,2017-07-01,56523.2391,675.0938557486804, -  Per Unit,USD,0.07166190754436227,0.022373510869565214,0.042373510869565215
57,Patricia Manor Place,2017-10-01,56876.0743,686.1671691168883, -  Per Unit,USD,0.07238549891797524,0.023700913043478263,0.043700913043478264
58,Patricia Manor Place,2018-01-01,58998.072,694.8995854476237, -  Per Unit,USD,0.07067006380625018,0.027541511111111115,0.047541511111111115
59,Patricia Manor Place,2018-04-01,61610.7959,701.9108160868747, -  Per Unit,USD,0.06835595669559023,0.02919126373626373,0.04919126373626373
60,Patricia Manor Place,2018-07-01,62724.9647,702.7484789368501, -  Per Unit,USD,0.06722189312959631,0.029177945652173912,0.04917794565217391
61,Patricia Manor Place,2018-10-01,63231.188,694.7117690735469, -  Per Unit,USD,0.06592111814254195,0.030362239130434784,0.050362239130434784
62,Patricia Manor Place,2019-01-01,64171.9965,691.5664108365307, -  Per Unit,USD,0.06466057924532836,0.026483777777777776,0.04648377777777778
63,Patricia Manor Place,2019-04-01,65480.5101,708.9879197580741, -  Per Unit,USD,0.06496478894333545,0.02333271428571428,0.04333271428571428
64,Patricia Manor Place,2019-07-01,66100.6175,720.5118407992013, -  Per Unit,USD,0.06540137154989828,0.017925108695652173,0.037925108695652174
65,Patricia Manor Place,2019-10-01,66753.7966,713.3045997336161, -  Per Unit,USD,0.06411362074350833,0.01790935869565218,0.03790935869565218
66,Patricia Manor Place,2020-01-01,67820.7109,698.9098160707802, -  Per Unit,USD,0.06183153848988453,0.013767076923076927,0.03376707692307693
67,Patricia Manor Place,2020-04-01,68555.3393,690.2201512778341, -  Per Unit,USD,0.06040843718305401,0.006787263736263736,0.026787263736263736
68,Patricia Manor Place,2020-07-01,68981.8006,685.5975455848887, -  Per Unit,USD,0.05963290661782656,0.006458163043478262,0.026458163043478262
69,Patricia Manor Place,2020-10-01,70701.2159,730.9619427289364, -  Per Unit,USD,0.062032478516025336,0.008540815217391303,0.028540815217391304
70,Patricia Manor Place,2021-01-01,73515.195,749.9021200687599, -  Per Unit,USD,0.06120384663895075,0.013100944444444446,0.03310094444444445
71,Patricia Manor Place,2021-04-01,78675.1342,773.5041671697551, -  Per Unit,USD,0.05898973100218151,0.01579798901098901,0.03579798901098901
72,Patricia Manor Place,2021-07-01,82539.3333,804.1556446983743, -  Per Unit,USD,0.05845617689512215,0.01318886956521739,0.03318886956521739
73,Patricia Manor Place,2021-10-01,85886.1657,817.3650535910646, -  Per Unit,USD,0.05710105092683614,0.015224673913043479,0.03522467391304348
74,Patricia Manor Place,2022-01-01,86534.4121,829.8573461661613, -  Per Unit,USD,0.05753946847461124,0.019318333333333337,0.03931833333333334
75,Patricia Manor Place,2022-04-01,86130.3067,838.3507296402245, -  Per Unit,USD,0.05840109678654316,0.029186923076923072,0.04918692307692307
76,Patricia Manor Place,2022-07-01,84010.252,833.4035996737945, -  Per Unit,USD,0.05952156408294987,0.03082071739130435,0.05082071739130435
77,Patricia Manor Place,2022-10-01,80797.0316,838.235266680233, -  Per Unit,USD,0.062247479894810866,0.03819154347826087,0.058191543478260874
78,Patricia Manor Place,2023-01-01,78457.679,852.7373702233633, -  Per Unit,USD,0.0652125360647003,0.03644471111111111,0.056444711111111115
79,Patricia Manor Place,2023-04-01,76994.2249,863.6609159668373, -  Per Unit,USD,0.06730330102720501,0.035932131868131864,0.05593213186813187
80,Patricia Manor Place,2023-07-01,75832.8144,889.7854741008485, -  Per Unit,USD,0.07040109069992648,0.0413559347826087,0.0613559347826087
81,Patricia Manor Place,2023-10-01,74740.7804,882.841639085221, -  Per Unit,USD,0.07087228426251924,0.044335195652173906,0.06433519565217391
82,Regency - Tanglewood - Marquee - Wildwood,2003-07-01,38318.6924,679.065834022676, -  Per Unit,USD,0.10632917641354735,0.04193382608695652,0.06193382608695652
83,Regency - Tanglewood - Marquee - Wildwood,2003-10-01,39527.4504,674.5035364308642, -  Per Unit,USD,0.10238508119373126,0.04262122826086956,0.06262122826086956
84,Regency - Tanglewood - Marquee - Wildwood,2004-01-01,40781.5928,671.1004340748625, -  Per Unit,USD,0.09873578563241343,0.039974626373626365,0.05997462637362637
85,Regency - Tanglewood - Marquee - Wildwood,2004-04-01,41721.3698,670.9085259327401, -  Per Unit,USD,0.09648415607860604,0.04577706593406593,0.06577706593406593
86,Regency - Tanglewood - Marquee - Wildwood,2004-07-01,42689.9396,671.714309584495, -  Per Unit,USD,0.09440832887725543,0.042859152173913034,0.06285915217391304
87,Regency - Tanglewood - Marquee - Wildwood,2004-10-01,43598.2779,668.661885680689, -  Per Unit,USD,0.09202132532129517,0.04158758695652173,0.06158758695652174
88,Regency - Tanglewood - Marquee - Wildwood,2005-01-01,44710.678,671.3615608236, -  Per Unit,USD,0.09009412393481486,0.04289902222222222,0.06289902222222223
89,Regency - Tanglewood - Marquee - Wildwood,2005-04-01,45878.9598,675.5711052192781, -  Per Unit,USD,0.08835044754688769,0.0414963846153846,0.061496384615384606
90,Regency - Tanglewood - Marquee - Wildwood,2005-07-01,47008.5433,681.4266801487823, -  Per Unit,USD,0.08697483040051347,0.041970032608695654,0.06197003260869566
91,Regency - Tanglewood - Marquee - Wildwood,2005-10-01,48009.13,687.8699338783957, -  Per Unit,USD,0.08596739002082258,0.044725456521739135,0.06472545652173914
92,Regency - Tanglewood - Marquee - Wildwood,2006-01-01,48749.3493,696.9129600161174, -  Per Unit,USD,0.08577504767015842,0.0455748,0.0655748
93,Regency - Tanglewood - Marquee - Wildwood,2006-04-01,49247.379,706.7530011906314, -  Per Unit,USD,0.08610647090769619,0.05059930769230769,0.0705993076923077
