,date_forecast,depression,downside,lower,mean,rateshock,sdownside,trend,upper,upside,k
0,2018-10-01,0.21624697620581235,0.21624697620581235,0.21624697620581235,0.21624697620581235,0.21624697620581235,0.21624697620581235,0.21624697620581235,0.21624697620581235,0.21624697620581235,Patricia Manor Place
1,2019-01-01,0.21893846707175602,0.21893846707175602,0.21055714124203195,0.21179317403293663,0.21893846707175602,0.21893846707175602,0.21893846707175602,0.21226232315809423,0.21893846707175602,Patricia Manor Place
2,2019-04-01,0.13947817046184352,0.17858628230895923,0.1999098951738436,0.2009277652658794,0.1746228333236699,0.15142625939227594,0.1982095331013385,0.20163564753331542,0.2008054364023697,Patricia Manor Place
3,2019-07-01,0.1065942817762997,0.17295190932778337,0.20276785551707976,0.20400398430864852,0.16445844538201326,0.12086864106777906,0.19968993849547734,0.20506919843280502,0.20483745514777318,Patricia Manor Place
4,2019-10-01,0.07644698837048214,0.16364001392633076,0.19705884143004693,0.1976293092493957,0.14744468841238434,0.0930507434614456,0.19328375861297586,0.19802647881618318,0.20132485848175974,Patricia Manor Place
5,2020-01-01,0.06383749140526707,0.15948005557767897,0.19345562257061188,0.1949692100233258,0.13488757337865231,0.07416565778628859,0.19024294793960883,0.19517183124234072,0.2001701909463538,Patricia Manor Place
6,2020-04-01,0.07062301495322565,0.16233643819261268,0.20164896264562016,0.20270179379837927,0.1383980510327627,0.07401256308437243,0.19801042978084915,0.20333267007175104,0.20798581872200606,Patricia Manor Place
7,2020-07-01,0.06550765533762237,0.1552890370019222,0.2012396333483144,0.20219214635461702,0.13307102727739495,0.0634142757686087,0.19697161497188964,0.20210661350825254,0.20602726683063266,Patricia Manor Place
8,2020-10-01,0.038695384647960074,0.13051380399505463,0.18429007834993105,0.18513543652812525,0.11043593809345364,0.033459445113240616,0.1800335942782021,0.18618605147011347,0.1869966574744415,Patricia Manor Place
9,2021-01-01,-0.01486898771238121,0.08702829336597984,0.1505068674776331,0.1513627825496977,0.06890965980889052,-0.02133540060479111,0.14863734892096514,0.1525899569029816,0.1510396122430211,Patricia Manor Place
10,2021-04-01,-0.0951897968179678,0.0148605694851498,0.0939426625321973,0.0948313490434105,-0.0022109427186598474,-0.09839109815084546,0.09867351207902542,0.09679922578233491,0.10379372450987345,Patricia Manor Place
11,2021-07-01,-0.11712851596426843,-0.025199281461859013,0.06558322176248899,0.06581711628070064,-0.03688136070915404,-0.11849515326763238,0.06838984195716735,0.06919429950150935,0.08426155348892683,Patricia Manor Place
12,2021-10-01,-0.15390895632078572,-0.08682857836030078,0.024365216230521014,0.025871500724704122,-0.0929763684463708,-0.1540859853983847,0.025803726933190108,0.02938819056722619,0.041711755389745475,Patricia Manor Place
13,2022-01-01,-0.17000759338326998,-0.10300613840342354,0.010898758488193883,0.012045321945129972,-0.10601316476082379,-0.16936026604440935,0.01020025193020091,0.015839460375091097,0.023879090439035355,Patricia Manor Place
