date,fc,fc_lower,fc_upper,yy,k,chosen_param,date_forecast
2023-10-01,74740.7804,74740.7804,74740.7804,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-01-01,73868.11082097341,73697.42258602487,73933.0799052957,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-04-01,73199.31756156476,73060.91766643143,73295.84540792607,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-07-01,72755.64519393045,72584.29319669653,72903.87058089419,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-10-01,72523.2635919812,72444.99580593134,72577.84310389282,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-01-01,72382.22766034202,72182.74462828475,72400.95690953633,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-04-01,72378.53412397511,72247.33046989354,72449.53541333167,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-07-01,72508.30836058261,72401.33812104432,72465.8139298699,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-10-01,72681.48402356947,72604.56673665666,72787.22490797125,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-01-01,72960.89750332615,72911.54634967748,73058.31722462656,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-04-01,73295.18339234366,73277.29631838054,73435.3832315938,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-07-01,73648.17759632389,73727.45655921454,73905.01578407334,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-10-01,74120.72764646106,74104.2087547873,74329.81321715032,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-01-01,74580.62399598167,74627.42602014374,74792.65632076775,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-04-01,75035.74362072509,75204.87484910944,75349.36590408129,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-07-01,75666.22384933855,75823.97131132057,75940.175909627,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-10-01,76326.95688823059,76339.06337512845,76424.97080354675,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2028-01-01,76942.13671332125,77050.62774010259,77031.47065542483,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2028-04-01,77614.20612727733,77759.68265807736,77690.58868185172,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2028-07-01,78332.20078928173,78577.68846013435,78346.69158554239,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2028-10-01,79033.83552194889,79328.68118039134,79224.65573584168,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2023-10-01,882.841639085221,882.841639085221,882.841639085221,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-01-01,882.7780209864178,881.2279140913053,884.3281278815303,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-04-01,886.7160448952638,883.4575006134006,889.980575237335,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-07-01,890.7463426423193,885.7365332515864,895.774986542104,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-10-01,899.014343684777,892.2107397733289,905.8567597914695,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-01-01,907.0004056510969,898.3739355118687,915.6929884317442,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-04-01,914.799682552578,904.3239322749606,925.3763347713633,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-07-01,922.7328791805251,910.3793197506592,935.2298155627146,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-10-01,930.3232193622767,916.0690898582653,944.7710109260513,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-01-01,938.0297887673636,921.847343592725,954.4642179236475,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-04-01,945.8347409407755,927.6959827934979,964.2920340377907,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-07-01,953.7009645399332,933.5781266709016,974.2173041756711,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-10-01,961.6775981373585,939.5416061456531,984.2906904138747,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-01-01,969.7159921624764,945.5383374947777,994.4631640112976,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-04-01,977.818264291929,951.5701135942393,1004.7373713233452,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-07-01,985.9887739899922,957.640893677681,1015.1182812110271,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-10-01,994.222878567673,963.7458615484016,1025.6016313861955,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2028-01-01,1002.5263026063992,969.8902871173979,1036.1938184817639,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2028-04-01,1010.8994387330571,976.074239616589,1046.8957761997444,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2028-07-01,1019.3424574945857,982.2975721868831,1057.7082133788797,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2028-10-01,1027.8564889408528,988.5610626333948,1068.6328378156454,ef_r,Patricia Manor Place,"1, 0, 0",2023-10-01
2023-10-01,75850.7831,75850.7831,75850.7831,price,Regency - Tanglewood - Marquee - Wildwood,"1, 0, 0",2023-10-01
2024-01-01,75794.21352202324,74622.38835915782,76553.99647916718,price,Regency - Tanglewood - Marquee - Wildwood,"1, 0, 0",2023-10-01
2024-04-01,75912.51927920649,74476.89494556257,76946.93007013909,price,Regency - Tanglewood - Marquee - Wildwood,"1, 0, 0",2023-10-01
2024-07-01,76089.13082911039,74494.60453699257,77584.98129572779,price,Regency - Tanglewood - Marquee - Wildwood,"1, 0, 0",2023-10-01
