,k,date,irr
0,Patricia Manor Place,2003-07-01,0.20993224123933518
0,Patricia Manor Place,2003-10-01,0.17170386867632104
0,Patricia Manor Place,2004-01-01,0.13296640972056606
0,Patricia Manor Place,2004-04-01,0.0870181238318084
0,Patricia Manor Place,2004-07-01,0.07380687267345576
0,Patricia Manor Place,2004-10-01,0.07660861527430018
0,Patricia Manor Place,2005-01-01,0.08845317692766175
0,Patricia Manor Place,2005-04-01,0.11203959564126542
0,Patricia Manor Place,2005-07-01,0.13662766338323395
0,Patricia Manor Place,2005-10-01,0.14229003197980705
0,Patricia Manor Place,2006-01-01,0.1619796886224365
0,Patricia Manor Place,2006-04-01,0.15748162132612809
0,Patricia Manor Place,2006-07-01,0.16761564289615238
0,Patricia Manor Place,2006-10-01,0.18491484217138687
0,Patricia Manor Place,2007-01-01,0.18446352341447692
0,Patricia Manor Place,2007-04-01,0.18069850738820992
0,Patricia Manor Place,2007-07-01,0.20027795627548817
0,Patricia Manor Place,2007-10-01,0.23452926723340162
0,Patricia Manor Place,2008-01-01,0.271462620594382
0,Patricia Manor Place,2008-04-01,0.3094476128542669
0,Patricia Manor Place,2008-07-01,0.33378950950442676
0,Patricia Manor Place,2008-10-01,0.38196385587836956
0,Patricia Manor Place,2009-01-01,0.42102769656185957
0,Patricia Manor Place,2009-04-01,0.43855111636750777
0,Patricia Manor Place,2009-07-01,0.4482443918917649
0,Patricia Manor Place,2009-10-01,0.4502262948351974
0,Patricia Manor Place,2010-01-01,0.42451684993517347
0,Patricia Manor Place,2010-04-01,0.39576951614630973
0,Patricia Manor Place,2010-07-01,0.3647515277898463
0,Patricia Manor Place,2010-10-01,0.33713633529894027
0,Patricia Manor Place,2011-01-01,0.3019238840024028
0,Patricia Manor Place,2011-04-01,0.2991989656595284
0,Patricia Manor Place,2011-07-01,0.3039277175902202
0,Patricia Manor Place,2011-10-01,0.30742354998281796
0,Patricia Manor Place,2012-01-01,0.3106253278759876
0,Patricia Manor Place,2012-04-01,0.319491220532901
0,Patricia Manor Place,2012-07-01,0.317859373805607
0,Patricia Manor Place,2012-10-01,0.3062123865404569
0,Patricia Manor Place,2013-01-01,0.3243088320091496
0,Patricia Manor Place,2013-04-01,0.33839981150376475
0,Patricia Manor Place,2013-07-01,0.3404699745564026
0,Patricia Manor Place,2013-10-01,0.3356526788156473
0,Patricia Manor Place,2014-01-01,0.3304317028366064
0,Patricia Manor Place,2014-04-01,0.3339521366134497
0,Patricia Manor Place,2014-07-01,0.3253717044086586
