,k,date,value,var,type
0,Patricia Manor Place,2023-10-01,74740.7804,price,depression
1,Patricia Manor Place,2024-01-01,74868.5741522602,price,depression
2,Patricia Manor Place,2024-04-01,65643.62512893032,price,depression
3,Patricia Manor Place,2024-07-01,61244.2812602597,price,depression
4,Patricia Manor Place,2024-10-01,58925.24567870081,price,depression
5,Patricia Manor Place,2025-01-01,57811.76882048943,price,depression
6,Patricia Manor Place,2025-04-01,57223.24962012699,price,depression
7,Patricia Manor Place,2025-07-01,56983.511552111326,price,depression
8,Patricia Manor Place,2025-10-01,57017.56614277493,price,depression
9,Patricia Manor Place,2026-01-01,57230.28123839434,price,depression
10,Patricia Manor Place,2026-04-01,57584.85348323615,price,depression
11,Patricia Manor Place,2026-07-01,58167.417293326514,price,depression
12,Patricia Manor Place,2026-10-01,58807.500063302985,price,depression
13,Patricia Manor Place,2027-01-01,59457.456505217546,price,depression
14,Patricia Manor Place,2027-04-01,60054.982587645725,price,depression
15,Patricia Manor Place,2027-07-01,60501.80410373728,price,depression
16,Patricia Manor Place,2027-10-01,60891.745562527656,price,depression
17,Patricia Manor Place,2028-01-01,61273.99508339227,price,depression
18,Patricia Manor Place,2028-04-01,61687.73395892969,price,depression
19,Patricia Manor Place,2028-07-01,62112.793803246386,price,depression
20,Patricia Manor Place,2028-10-01,62556.43067270546,price,depression
21,Regency - Tanglewood - Marquee - Wildwood,2023-10-01,75850.7831,price,depression
22,Regency - Tanglewood - Marquee - Wildwood,2024-01-01,75899.7648,price,depression
23,Regency - Tanglewood - Marquee - Wildwood,2024-04-01,68356.2163,price,depression
24,Regency - Tanglewood - Marquee - Wildwood,2024-07-01,64674.4209,price,depression
25,Regency - Tanglewood - Marquee - Wildwood,2024-10-01,62834.903,price,depression
26,Regency - Tanglewood - Marquee - Wildwood,2025-01-01,62030.0632,price,depression
27,Regency - Tanglewood - Marquee - Wildwood,2025-04-01,61656.2264,price,depression
28,Regency - Tanglewood - Marquee - Wildwood,2025-07-01,61600.4637,price,depression
29,Regency - Tanglewood - Marquee - Wildwood,2025-10-01,61778.1258,price,depression
30,Regency - Tanglewood - Marquee - Wildwood,2026-01-01,62099.9156,price,depression
31,Regency - Tanglewood - Marquee - Wildwood,2026-04-01,62533.3772,price,depression
32,Regency - Tanglewood - Marquee - Wildwood,2026-07-01,63162.21910000001,price,depression
33,Regency - Tanglewood - Marquee - Wildwood,2026-10-01,63832.231100000005,price,depression
34,Regency - Tanglewood - Marquee - Wildwood,2027-01-01,64501.588200000006,price,depression
35,Regency - Tanglewood - Marquee - Wildwood,2027-04-01,65119.034600000006,price,depression
36,Regency - Tanglewood - Marquee - Wildwood,2027-07-01,65562.9361,price,depression
37,Regency - Tanglewood - Marquee - Wildwood,2027-10-01,65945.5555,price,depression
38,Regency - Tanglewood - Marquee - Wildwood,2028-01-01,66320.7833,price,depression
39,Regency - Tanglewood - Marquee - Wildwood,2028-04-01,66712.51359999999,price,depression
40,Regency - Tanglewood - Marquee - Wildwood,2028-07-01,67115.77259999998,price,depression
41,Regency - Tanglewood - Marquee - Wildwood,2028-10-01,67530.99689999998,price,depression
42,Sutton Place,2023-10-01,84325.743,price,depression
43,Sutton Place,2024-01-01,84469.92537343023,price,depression
44,Sutton Place,2024-04-01,74061.94359472489,price,depression
45,Sutton Place,2024-07-01,69098.41580637785,price,depression
46,Sutton Place,2024-10-01,66481.98074359396,price,depression
47,Sutton Place,2025-01-01,65225.70856019594,price,depression
48,Sutton Place,2025-04-01,64561.71604399887,price,depression
49,Sutton Place,2025-07-01,64291.233308835916,price,depression
50,Sutton Place,2025-10-01,64329.65515357584,price,depression
51,Sutton Place,2026-01-01,64569.64941627185,price,depression
52,Sutton Place,2026-04-01,64969.692977945226,price,depression
53,Sutton Place,2026-07-01,65626.96636829346,price,depression
54,Sutton Place,2026-10-01,66349.13510764696,price,depression
55,Sutton Place,2027-01-01,67082.44374569913,price,depression
56,Sutton Place,2027-04-01,67756.5982112128,price,depression
57,Sutton Place,2027-07-01,68260.72134360662,price,depression
58,Sutton Place,2027-10-01,68700.66996419932,price,depression
59,Sutton Place,2028-01-01,69131.94021165719,price,depression
60,Sutton Place,2028-04-01,69598.73809496747,price,depression
61,Sutton Place,2028-07-01,70078.30877913267,price,depression
62,Sutton Place,2028-10-01,70578.83885707831,price,depression
63,Turks (Approx) - Miami S. Beach 5 stars,2023-10-01,451573.0711,price,depression
64,Turks (Approx) - Miami S. Beach 5 stars,2024-01-01,452051.28583743895,price,depression
65,Turks (Approx) - Miami S. Beach 5 stars,2024-04-01,402818.81027103413,price,depression
66,Turks (Approx) - Miami S. Beach 5 stars,2024-07-01,379331.44939955353,price,depression
67,Turks (Approx) - Miami S. Beach 5 stars,2024-10-01,367126.5940995299,price,depression
68,Turks (Approx) - Miami S. Beach 5 stars,2025-01-01,361821.2105266476,price,depression
69,Turks (Approx) - Miami S. Beach 5 stars,2025-04-01,359117.11020514154,price,depression
70,Turks (Approx) - Miami S. Beach 5 stars,2025-07-01,357702.1504048048,price,depression
71,Turks (Approx) - Miami S. Beach 5 stars,2025-10-01,357366.0435025302,price,depression
72,Turks (Approx) - Miami S. Beach 5 stars,2026-01-01,357806.44737458974,price,depression
73,Turks (Approx) - Miami S. Beach 5 stars,2026-04-01,358751.35359572875,price,depression
74,Turks (Approx) - Miami S. Beach 5 stars,2026-07-01,361049.359187154,price,depression
75,Turks (Approx) - Miami S. Beach 5 stars,2026-10-01,363511.63656749396,price,depression
76,Turks (Approx) - Miami S. Beach 5 stars,2027-01-01,365953.87134295935,price,depression
77,Turks (Approx) - Miami S. Beach 5 stars,2027-04-01,368076.6405984908,price,depression
78,Turks (Approx) - Miami S. Beach 5 stars,2027-07-01,369271.8207127982,price,depression
79,Turks (Approx) - Miami S. Beach 5 stars,2027-10-01,370082.05450415367,price,depression
80,Turks (Approx) - Miami S. Beach 5 stars,2028-01-01,370935.94528654474,price,depression
81,Turks (Approx) - Miami S. Beach 5 stars,2028-04-01,372040.37272796244,price,depression
82,Turks (Approx) - Miami S. Beach 5 stars,2028-07-01,373287.7601152906,price,depression
83,Turks (Approx) - Miami S. Beach 5 stars,2028-10-01,374653.0366779646,price,depression
84,el retiro Farm,2023-10-01,,price,depression
85,el retiro Farm,2024-01-01,,price,depression
86,el retiro Farm,2024-04-01,,price,depression
87,el retiro Farm,2024-07-01,,price,depression
88,el retiro Farm,2024-10-01,,price,depression
89,el retiro Farm,2025-01-01,,price,depression
90,el retiro Farm,2025-04-01,,price,depression
91,el retiro Farm,2025-07-01,,price,depression
92,el retiro Farm,2025-10-01,,price,depression
93,el retiro Farm,2026-01-01,,price,depression
94,el retiro Farm,2026-04-01,,price,depression
95,el retiro Farm,2026-07-01,,price,depression
96,el retiro Farm,2026-10-01,,price,depression
97,el retiro Farm,2027-01-01,,price,depression
98,el retiro Farm,2027-04-01,,price,depression
99,el retiro Farm,2027-07-01,,price,depression
100,el retiro Farm,2027-10-01,,price,depression
101,el retiro Farm,2028-01-01,,price,depression
102,el retiro Farm,2028-04-01,,price,depression
103,el retiro Farm,2028-07-01,,price,depression
104,el retiro Farm,2028-10-01,,price,depression
105,la moraleja Property,2023-10-01,,price,depression
106,la moraleja Property,2024-01-01,,price,depression
107,la moraleja Property,2024-04-01,,price,depression
108,la moraleja Property,2024-07-01,,price,depression
109,la moraleja Property,2024-10-01,,price,depression
110,la moraleja Property,2025-01-01,,price,depression
111,la moraleja Property,2025-04-01,,price,depression
112,la moraleja Property,2025-07-01,,price,depression
113,la moraleja Property,2025-10-01,,price,depression
114,la moraleja Property,2026-01-01,,price,depression
115,la moraleja Property,2026-04-01,,price,depression
116,la moraleja Property,2026-07-01,,price,depression
